record_id,pack,office,quarter,month,sheet_name,metric_name,metric_unit,metric_kind,species,metric_value
94,fr4,Bumdeling Wildlife Sanctuary,Q1,Mar,Forestry Clearance,total_forestry_clearance_area_acre_12_67_c3,acre,decimal,Oak,0.08164857142857142857142857143
95,fr4,Bumdeling Wildlife Sanctuary,Q1,Mar,Forestry Clearance,total_forestry_clearance_area_acre_12_67_c3,acre,decimal,Blue Pine,0.04135142857142857142857142857
96,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,Forestry Clearance,total_forest_area_acre_5_809_c4,acre,decimal,Blue Pine,0.02495516903478686918177364037
97,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,Forestry Clearance,total_forest_area_acre_5_809_c4,acre,decimal,Hemlock,0.04404483096521313081822635963
98,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,Forestry Clearance,volume_of_timber_m3_111_16_c5,m3,decimal,Hemlock,0.1359959383990522931122017262
99,fr4,Bumdeling Wildlife Sanctuary,Q1,Feb,Forestry Clearance,volume_of_timber_m3_111_16_c5,m3,decimal,Oak,0.2640040616009477068877982738
100,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,Forestry Clearance,volume_of_poles_m3_18_25_c6,m3,decimal,Oak,0
101,fr4,Bumdeling Wildlife Sanctuary,Q1,Feb,CF_timber_removal,volume_of_timber_m3_rural_c3,m3,decimal,Broadleaf Mixed,53.55711912316123449668301125
102,fr4,Bumdeling Wildlife Sanctuary,Q1,Feb,CF_timber_removal,volume_of_timber_m3_rural_c3,m3,decimal,Chir Pine,42.80956907989616383040092299
103,fr4,Bumdeling Wildlife Sanctuary,Q1,Feb,CF_timber_removal,volume_of_timber_m3_rural_c3,m3,decimal,Cypress,15.46331179694260167291606576
104,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,CF_timber_removal,commercial_c4,value,decimal,Hemlock,0
105,fr4,Bumdeling Wildlife Sanctuary,Q1,Feb,CF_timber_removal,firewood_standing_form_m3_c5,m3,decimal,Cypress,0
106,fr4,Bumdeling Wildlife Sanctuary,Q1,Mar,CF_timber_removal,firewood_other_form_m3_c6,m3,decimal,Oak,0
107,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,Plantation,new_plantation_creation_c3,value,decimal,Broadleaf Mixed,0
108,fr4,Bumdeling Wildlife Sanctuary,Q1,Jan,Plantation,metric_c4,value,decimal,Blue Pine,0
