pack,sheet_name,office,quarter,metric_name,metric_value
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,volume_m3_standing_form_c2,654.55
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,other_form_c3,30.38
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,royalty_nu_c4,9060.0
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,sl_no_c7,1.0
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,volume_m3_standing_form_c9,7.89
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,other_form_c10,295.81
fr2,Firewood,"Divisional Forest Office, Bumthang",Q1,royalty_nu_c11,44133.18
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,volume_m3_standing_form_c2,134.0
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,other_form_c3,372.31
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,royalty_nu_c4,9120.0
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,sl_no_c7,2.0
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,volume_m3_standing_form_c9,0.0
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,other_form_c10,62.5
fr2,Firewood,"Divisional Forest Office, Dagana",Q1,royalty_nu_c11,1785.0
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,volume_m3_standing_form_c2,593.93
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,other_form_c3,144.0
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,royalty_nu_c4,13180.0
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,sl_no_c7,3.0
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,volume_m3_standing_form_c9,67.27
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,other_form_c10,476.0
fr2,Firewood,"Divisional Forest Office, Gedu",Q1,royalty_nu_c11,12280.0
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,volume_m3_standing_form_c2,691.93
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,other_form_c3,0
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,royalty_nu_c4,17360.0
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,sl_no_c7,4.0
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,volume_m3_standing_form_c9,0
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,other_form_c10,940.12
fr2,Firewood,"Divisional Forest Office, Mongar",Q1,royalty_nu_c11,21572.07
fr2,Firewood,"Divisional Forest Office, Paro",Q1,volume_m3_standing_form_c2,0.0
fr2,Firewood,"Divisional Forest Office, Paro",Q1,other_form_c3,56.0
fr2,Firewood,"Divisional Forest Office, Paro",Q1,royalty_nu_c4,560.0
fr2,Firewood,"Divisional Forest Office, Paro",Q1,sl_no_c7,5.0
fr2,Firewood,"Divisional Forest Office, Paro",Q1,volume_m3_standing_form_c9,0.0
fr2,Firewood,"Divisional Forest Office, Paro",Q1,other_form_c10,513.0
fr2,Firewood,"Divisional Forest Office, Paro",Q1,royalty_nu_c11,5130.0
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,volume_m3_standing_form_c2,66.05
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,other_form_c3,0.0
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,royalty_nu_c4,1740.0
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,sl_no_c7,6.0
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,volume_m3_standing_form_c9,0.53
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,other_form_c10,462.0
fr2,Firewood,"Divisional Forest Office, Pema Gatshel",Q1,royalty_nu_c11,120.0
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,volume_m3_standing_form_c2,9.74
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,other_form_c3,24.4
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,royalty_nu_c4,1440.0
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,sl_no_c7,7.0
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,volume_m3_standing_form_c9,0
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,other_form_c10,467.0
fr2,Firewood,"Divisional Forest Office, Samdrup Jongkhar",Q1,royalty_nu_c11,10507.5
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,volume_m3_standing_form_c2,1160.45
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,other_form_c3,2815.9
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,royalty_nu_c4,17615.5
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,sl_no_c7,8.0
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,volume_m3_standing_form_c9,2.0
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,other_form_c10,2864.0
fr2,Firewood,"Divisional Forest Office, Samtse",Q1,royalty_nu_c11,10845.0
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,volume_m3_standing_form_c2,1114.1
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,other_form_c3,0.0
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,royalty_nu_c4,23580.0
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,sl_no_c7,9.0
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,volume_m3_standing_form_c9,2936.1
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,other_form_c10,0.0
fr2,Firewood,"Divisional Forest Office, Sarpang",Q1,royalty_nu_c11,66812.49
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,volume_m3_standing_form_c2,28.31
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,other_form_c3,0
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,royalty_nu_c4,400.0
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,sl_no_c7,10.0
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,volume_m3_standing_form_c9,32.0
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,other_form_c10,0
fr2,Firewood,"Divisional Forest Office, Thimphu",Q1,royalty_nu_c11,180.0
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,volume_m3_standing_form_c2,1399.24
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,other_form_c3,692.8
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,royalty_nu_c4,48972.0
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,sl_no_c7,11.0
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,volume_m3_standing_form_c9,46.87
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,other_form_c10,502.7
fr2,Firewood,"Divisional Forest Office, Trashigang",Q1,royalty_nu_c11,15121.08
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,volume_m3_standing_form_c2,8.0
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,other_form_c3,8.0
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,royalty_nu_c4,360.0
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,sl_no_c7,12.0
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,volume_m3_standing_form_c9,0.0
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,other_form_c10,0.0
fr2,Firewood,"Divisional Forest Office, Tsirang",Q1,royalty_nu_c11,0.0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,volume_m3_standing_form_c2,0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,other_form_c3,0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,royalty_nu_c4,0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,sl_no_c7,13.0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,volume_m3_standing_form_c9,0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,other_form_c10,0
fr2,Firewood,"Divisional Forest Office, Wangdue",Q1,royalty_nu_c11,0
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,volume_m3_standing_form_c2,7.91
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,other_form_c3,42.0
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,royalty_nu_c4,1125.0
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,sl_no_c7,14.0
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,volume_m3_standing_form_c9,56.8
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,other_form_c10,217.0
fr2,Firewood,"Divisional Forest Office, Zhemgang",Q1,royalty_nu_c11,23474.0
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,volume_m3_standing_form_c2,80.0
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,other_form_c3,0.4
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,royalty_nu_c4,2160.0
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,sl_no_c7,15.0
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,volume_m3_standing_form_c9,354.95
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,other_form_c10,0.0
fr2,Firewood,Bumdeling Wildlife Sanctuary,Q1,royalty_nu_c11,26284.97
fr2,Firewood,Jigme Dorji National Park,Q1,volume_m3_standing_form_c2,76.02
fr2,Firewood,Jigme Dorji National Park,Q1,other_form_c3,40.0
fr2,Firewood,Jigme Dorji National Park,Q1,royalty_nu_c4,2455.0
fr2,Firewood,Jigme Dorji National Park,Q1,sl_no_c7,16.0
fr2,Firewood,Jigme Dorji National Park,Q1,volume_m3_standing_form_c9,3.53
fr2,Firewood,Jigme Dorji National Park,Q1,other_form_c10,1.51
fr2,Firewood,Jigme Dorji National Park,Q1,royalty_nu_c11,2245.52
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,volume_m3_standing_form_c2,0.0
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,other_form_c3,0.0
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,royalty_nu_c4,0.0
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,sl_no_c7,17.0
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,volume_m3_standing_form_c9,0.0
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,other_form_c10,24.0
fr2,Firewood,Jigme Khesar Strict Nature Reserve,Q1,royalty_nu_c11,540.0
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,volume_m3_standing_form_c2,0.0
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,other_form_c3,24.0
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,royalty_nu_c4,540.0
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,sl_no_c7,18.0
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,volume_m3_standing_form_c9,18.29
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,other_form_c10,0.0
fr2,Firewood,Jigme Singye Wangchuck National Park,Q1,royalty_nu_c11,9120.0
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,volume_m3_standing_form_c2,79.76
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,other_form_c3,296.0
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,royalty_nu_c4,8460.0
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,sl_no_c7,19.0
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,volume_m3_standing_form_c9,0.0
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,other_form_c10,960.45
fr2,Firewood,Jomotsangkha Wildlife Sanctuary,Q1,royalty_nu_c11,21603.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,volume_m3_standing_form_c2,0.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,other_form_c3,0.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,royalty_nu_c4,0.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,sl_no_c7,20.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,volume_m3_standing_form_c9,0.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,other_form_c10,0.0
fr2,Firewood,Phibsoo Wildlife Sanctuary,Q1,royalty_nu_c11,0.0
fr2,Firewood,Phrumsengla National Park,Q1,volume_m3_standing_form_c2,730.66
fr2,Firewood,Phrumsengla National Park,Q1,other_form_c3,94.74
fr2,Firewood,Phrumsengla National Park,Q1,royalty_nu_c4,10154.0
fr2,Firewood,Phrumsengla National Park,Q1,sl_no_c7,21.0
fr2,Firewood,Phrumsengla National Park,Q1,volume_m3_standing_form_c9,87.0
fr2,Firewood,Phrumsengla National Park,Q1,other_form_c10,194.44
fr2,Firewood,Phrumsengla National Park,Q1,royalty_nu_c11,5557.5
fr2,Firewood,Royal Manas National Park,Q1,volume_m3_standing_form_c2,0.0
fr2,Firewood,Royal Manas National Park,Q1,other_form_c3,0.0
fr2,Firewood,Royal Manas National Park,Q1,royalty_nu_c4,0
fr2,Firewood,Royal Manas National Park,Q1,sl_no_c7,22.0
fr2,Firewood,Royal Manas National Park,Q1,volume_m3_standing_form_c9,0
fr2,Firewood,Royal Manas National Park,Q1,other_form_c10,0
fr2,Firewood,Royal Manas National Park,Q1,royalty_nu_c11,0
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,volume_m3_standing_form_c2,31.91
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,other_form_c3,0.0
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,royalty_nu_c4,1300.0
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,sl_no_c7,23.0
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,volume_m3_standing_form_c9,97.06
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,other_form_c10,9.4
fr2,Firewood,Sakteng Wildlife Sanctuary,Q1,royalty_nu_c11,1980.0
fr2,Firewood,Wangchuck Centennial National Park,Q1,volume_m3_standing_form_c2,264.71
fr2,Firewood,Wangchuck Centennial National Park,Q1,other_form_c3,8.2
fr2,Firewood,Wangchuck Centennial National Park,Q1,royalty_nu_c4,1120.0
fr2,Firewood,Wangchuck Centennial National Park,Q1,sl_no_c7,24.0
fr2,Firewood,Wangchuck Centennial National Park,Q1,volume_m3_standing_form_c9,49.62
fr2,Firewood,Wangchuck Centennial National Park,Q1,other_form_c10,36.51
fr2,Firewood,Wangchuck Centennial National Park,Q1,royalty_nu_c11,240.0
