pack,sheet_name,office,quarter,metric_name,metric_value
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,offence_cases_no_s_aquatic_and_fishing_c3,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,forest_fire_c4,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,grazing_c5,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,illegal_timber_c6,4.0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,land_related_c7,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,nwfp_c8,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,others_c9,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,timber_misuse_c10,1.0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,waste_pollution_c11,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,wildlife_and_poaching_c12,0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,fine_nu_c13,34378.75
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,compensation_nu_c14,62080.0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,fair_market_value_nu_c15,34938.48
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,reward_nu_c16,0.0
fr3,Forest_offence,"Divisional Forest Office, Bumthang",Q1,metric_c18,131397.23
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,offence_cases_no_s_aquatic_and_fishing_c3,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,forest_fire_c4,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,grazing_c5,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,illegal_timber_c6,6.0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,land_related_c7,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,nwfp_c8,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,others_c9,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,timber_misuse_c10,2.0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,waste_pollution_c11,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,wildlife_and_poaching_c12,0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,fine_nu_c13,34222.4
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,compensation_nu_c14,44046.04
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,fair_market_value_nu_c15,15583.916
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,reward_nu_c16,0.0
fr3,Forest_offence,"Divisional Forest Office, Dagana",Q1,metric_c18,93852.356
fr3,Forest_offence,"Divisional Forest Office, Gedu",Q1,offence_cases_no_s_aquatic_and_fishing_c3,10.0
