record_id,pack,office,quarter,month,sheet_name,metric_name,metric_unit,metric_kind,species,metric_value
1,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,volume_m3_standing_form_c2,m3,decimal,Chir Pine,74.75284362708621239502498140
2,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,volume_m3_standing_form_c2,m3,decimal,Cypress,5.24715637291378760497501860
3,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,other_form_c3,value,decimal,Cypress,0.2886943836615609044493070751
4,fr2,Bumdeling Wildlife Sanctuary,Q1,Mar,Firewood,other_form_c3,value,decimal,Broadleaf Mixed,0.1113056163384390955506929249
5,fr2,Bumdeling Wildlife Sanctuary,Q1,Mar,Firewood,royalty_nu_c4,nu,decimal,Broadleaf Mixed,408.3359372509007429136243344
6,fr2,Bumdeling Wildlife Sanctuary,Q1,Mar,Firewood,royalty_nu_c4,nu,decimal,Chir Pine,475.6917386729585817683257341
7,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,royalty_nu_c4,nu,decimal,Cypress,270.8694959028154194432930523
8,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,royalty_nu_c4,nu,decimal,Broadleaf Mixed,621.4915664955520836654656761
9,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,royalty_nu_c4,nu,decimal,Chir Pine,383.611261677773172209291203
10,fr2,Bumdeling Wildlife Sanctuary,Q1,Mar,Firewood,sl_no_c7,value,decimal,Oak,4.035047792444242148384160218
11,fr2,Bumdeling Wildlife Sanctuary,Q1,Feb,Firewood,sl_no_c7,value,decimal,Blue Pine,10.96495220755575785161583978
12,fr2,Bumdeling Wildlife Sanctuary,Q1,Mar,Firewood,volume_m3_standing_form_c9,m3,decimal,Blue Pine,180.6419982344410114130777477
13,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,volume_m3_standing_form_c9,m3,decimal,Hemlock,121.1740525884355886247556592
14,fr2,Bumdeling Wildlife Sanctuary,Q1,Jan,Firewood,volume_m3_standing_form_c9,m3,decimal,Oak,53.1339491771233999621665931
